id,type,osmid,name,yes,no,Non-verifiable
http://www.worldkg.org/resource/4040211231,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4040211231,statue de la vierge de la Manère,yes,,
http://www.worldkg.org/resource/4620587048,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4620587048,Паровоз,yes,,
http://www.worldkg.org/resource/8203000294,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/8203000294,Royal Observer Corps,yes,,
http://www.worldkg.org/resource/8155394468,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/8155394468,Людиново - город воинской доблести,yes,,
http://www.worldkg.org/resource/1277477083,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1277477083,Чесменский обелиск,yes,,
http://www.worldkg.org/resource/7077907385,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/7077907385,Spaghetti Junction,,,Non-verifiable
http://www.worldkg.org/resource/4463586193,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4463586193,Памятник В.И. Ленину,yes,,
http://www.worldkg.org/resource/6795379085,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/6795379085,Pont canal de Digoin,yes,,
http://www.worldkg.org/resource/6873958190,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/6873958190,The Sad Castle,yes,,
http://www.worldkg.org/resource/5042774824,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/5042774824,statue,,,Non-verifiable
http://www.worldkg.org/resource/8174098887,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/8174098887,Monument Allemand de Guillaume Ier de Prusse,yes,,
http://www.worldkg.org/resource/4075038289,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4075038289,Виктор Васильевич Талалихин,yes,,
http://www.worldkg.org/resource/1606611081,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1606611081,комсомолец,yes,,
http://www.worldkg.org/resource/290157050,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/290157050,Wychbury Obelisk,yes,,
http://www.worldkg.org/resource/8493710318,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/8493710318,Курортница,yes,,
http://www.worldkg.org/resource/307768960,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/307768960,Historic Cargo Lift,yes,,
http://www.worldkg.org/resource/4357672191,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4357672191,Мини парк-памятник учителю А.И. Тимофееву,yes,,
http://www.worldkg.org/resource/3463759236,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3463759236,Олень,,,Non-verifiable
http://www.worldkg.org/resource/2619064146,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2619064146,"Самолет \""СУ-17\""",yes,,
http://www.worldkg.org/resource/2719392454,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2719392454,В.И. Ленин,yes,,
http://www.worldkg.org/resource/2338159240,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2338159240,Vierge de Mercurey,yes,,
http://www.worldkg.org/resource/2712546942,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2712546942,Stèle Jacques Anquetil,yes,,
http://www.worldkg.org/resource/599190082,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/599190082,Советско-болгарской дружбе,yes,,
http://www.worldkg.org/resource/7353961241,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/7353961241,Wolfgang Reichsgraf Berghe von Trips,yes,,
http://www.worldkg.org/resource/6906604099,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/6906604099,William Thomas Esq.,yes,,
http://www.worldkg.org/resource/1741071088,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1741071088,Танк Т-34,yes,,
http://www.worldkg.org/resource/405081121,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/405081121,Pikketörnken,yes,,
http://www.worldkg.org/resource/7931899886,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/7931899886,Кошка,yes,,
http://www.worldkg.org/resource/3891637383,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3891637383,Atlas à la roue dentée,yes,,
http://www.worldkg.org/resource/4096416490,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4096416490,Аэродром «Гражданка»,yes,,
http://www.worldkg.org/resource/3898613698,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3898613698,Place de la paix,yes,,
http://www.worldkg.org/resource/3930050357,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3930050357,Amer sud,yes,,
http://www.worldkg.org/resource/4393754190,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4393754190,Statue de la vierge Marie,yes,,
http://www.worldkg.org/resource/1921948376,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1921948376,"\""Маруся\""",,,Non-verifiable
http://www.worldkg.org/resource/762640041,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/762640041,Obelisk,yes,,
http://www.worldkg.org/resource/2424210532,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2424210532,War Memorial,yes,,
http://www.worldkg.org/resource/370228819,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/370228819,ККЦ,yes,,
http://www.worldkg.org/resource/2792505637,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2792505637,Alemannenstele,yes,,
http://www.worldkg.org/resource/3320347895,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3320347895,Могила советских воинов с памятным знаком,yes,,
http://www.worldkg.org/resource/5777447495,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/5777447495,stèle Didier Friess 1944,yes,,
http://www.worldkg.org/resource/4463523310,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4463523310,Памятник воинам Великой Отечественной войны 1941-1945 гг.,yes,,
http://www.worldkg.org/resource/670131360,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/670131360,Погибшим в локальных войнах,yes,,
